α_i;I1 мА;I2;<I>;φ
250;22,00;19,70;20,85;250
240;25,00;24,7;25,00;
230;30,00;28,8;30,00;
220;31,70;29,10;30,40;
210;33.4;31,60;31,60;
200;35.3;32,60;32,60;
190;35.2;33,20;33,20;
180;35.2;34,20;34,20;
170;36.6;35,60;35,60;
160;37.1;36,30;36,30;
150;38.4;37,60;37,60;
140;40.5;38,80;38,80;
130;41,00;41,00;41,00;
120;43.9;43,60;43,60;
110;47.9;47,50;47,50;
