<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
09.10.2018;115560;115570;115500;115500
09.10.2018;115500;115520;115460;115460
09.10.2018;115460;115580;115440;115550
09.10.2018;115560;115620;115520;115610
09.10.2018;115600;115620;115570;115570
09.10.2018;115580;115580;115500;115520
09.10.2018;115500;115540;115470;115530
09.10.2018;115520;115540;115500;115530
09.10.2018;115510;115510;115400;115410
09.10.2018;115420;115430;115290;115300
09.10.2018;115300;115360;115280;115310
09.10.2018;115300;115340;115300;115330
09.10.2018;115330;115330;115240;115300
09.10.2018;115310;115320;115280;115320
09.10.2018;115320;115340;115290;115340
09.10.2018;115330;115410;115330;115360
09.10.2018;115360;115490;115360;115440
09.10.2018;115440;115450;115390;115420
09.10.2018;115420;115430;115390;115410
09.10.2018;115420;115480;115410;115460
09.10.2018;115470;115550;115460;115550
09.10.2018;115540;115560;115480;115500
09.10.2018;115490;115520;115470;115520
09.10.2018;115520;115520;115410;115450
09.10.2018;115450;115470;115420;115440
09.10.2018;115440;115490;115360;115410
09.10.2018;115410;115470;115400;115440
09.10.2018;115430;115520;115400;115430
09.10.2018;115430;115540;115430;115530
09.10.2018;115540;115650;115540;115640
09.10.2018;115620;115650;115580;115640
09.10.2018;115630;115650;115550;115570
09.10.2018;115570;115580;115540;115540
09.10.2018;115540;115720;115530;115650
09.10.2018;115650;115660;115610;115610
09.10.2018;115600;115600;115440;115460
09.10.2018;115460;115520;115450;115500
09.10.2018;115490;115530;115480;115510
09.10.2018;115510;115610;115480;115580
09.10.2018;115580;115600;115530;115550
09.10.2018;115560;115560;115420;115430
09.10.2018;115420;115460;115330;115350
09.10.2018;115350;115390;115300;115350
09.10.2018;115340;115340;115260;115320
09.10.2018;115310;115340;115250;115320
09.10.2018;115320;115360;115250;115360
09.10.2018;115360;115420;115350;115390
09.10.2018;115390;115410;115360;115360
09.10.2018;115380;115430;115320;115420
09.10.2018;115420;115510;115410;115460
09.10.2018;115440;115470;115390;115400
09.10.2018;115390;115480;115370;115460
09.10.2018;115470;115470;115390;115440
09.10.2018;115420;115450;115330;115350
09.10.2018;115350;115350;115280;115310
09.10.2018;115310;115340;115100;115180
09.10.2018;115180;115240;115170;115230
09.10.2018;115220;115270;115200;115260
09.10.2018;115260;115300;115210;115230
09.10.2018;115230;115250;115170;115240
09.10.2018;115230;115250;115150;115160
09.10.2018;115150;115220;115120;115120
09.10.2018;115120;115160;115070;115110
09.10.2018;115110;115120;114980;115040
09.10.2018;115030;115140;115030;115100
09.10.2018;115100;115150;115090;115110
09.10.2018;115120;115120;114960;114970
09.10.2018;114980;115070;114960;115040
09.10.2018;115040;115040;114970;115030
09.10.2018;115020;115040;114980;115020
09.10.2018;115030;115250;115020;115200
09.10.2018;115180;115230;115170;115190
09.10.2018;115170;115230;115130;115190
09.10.2018;115190;115220;115160;115180
09.10.2018;115190;115290;115190;115260
09.10.2018;115260;115270;115160;115220
09.10.2018;115230;115280;115210;115280
09.10.2018;115270;115340;115250;115270
09.10.2018;115270;115320;115260;115280
09.10.2018;115280;115360;115280;115360
09.10.2018;115360;115380;115280;115300
09.10.2018;115300;115360;115290;115360
09.10.2018;115360;115390;115300;115370
09.10.2018;115380;115470;115370;115430
09.10.2018;115430;115430;115340;115390
09.10.2018;115400;115470;115340;115400
09.10.2018;115400;115480;115360;115460
09.10.2018;115470;115640;115430;115600
09.10.2018;115610;115640;115590;115620
09.10.2018;115620;115640;115590;115610
09.10.2018;115620;115690;115600;115690
09.10.2018;115690;115830;115690;115730
09.10.2018;115750;115810;115730;115770
09.10.2018;115770;115790;115710;115730
09.10.2018;115730;115750;115650;115670
09.10.2018;115670;115760;115630;115760
09.10.2018;115770;115820;115730;115790
09.10.2018;115800;115890;115800;115830
09.10.2018;115830;115850;115770;115820
09.10.2018;115830;115880;115800;115820
09.10.2018;115830;115920;115820;115880
09.10.2018;115880;115900;115820;115840
09.10.2018;115830;115850;115760;115780
09.10.2018;115780;115870;115780;115830
09.10.2018;115850;115890;115820;115840
09.10.2018;115840;115860;115720;115730
09.10.2018;115750;115790;115690;115700
09.10.2018;115690;115750;115680;115740
09.10.2018;115740;115770;115710;115750
09.10.2018;115740;115780;115660;115670
09.10.2018;115670;115830;115670;115710
09.10.2018;115730;115780;115710;115760
09.10.2018;115780;115780;115660;115700
09.10.2018;115700;115730;115620;115670
09.10.2018;115660;115670;115510;115550
09.10.2018;115550;115630;115540;115570
09.10.2018;115570;115600;115520;115520
09.10.2018;115530;115570;115480;115520
09.10.2018;115500;115620;115490;115620
09.10.2018;115620;115640;115530;115560
09.10.2018;115570;115600;115520;115540
09.10.2018;115530;115550;115420;115460
09.10.2018;115460;115520;115460;115480
09.10.2018;115470;115520;115460;115500
09.10.2018;115500;115510;115330;115340
09.10.2018;115340;115470;115340;115470
09.10.2018;115480;115500;115330;115400
09.10.2018;115400;115470;115400;115440
09.10.2018;115450;115460;115430;115440
09.10.2018;115450;115510;115410;115490
09.10.2018;115500;115680;115500;115620
09.10.2018;115630;115660;115560;115580
09.10.2018;115570;115640;115550;115620
09.10.2018;115630;115630;115530;115550
09.10.2018;115550;115550;115510;115540
09.10.2018;115540;115650;115520;115610
09.10.2018;115620;115640;115580;115580
09.10.2018;115600;115610;115570;115580
09.10.2018;115580;115600;115530;115560
09.10.2018;115570;115610;115510;115600
09.10.2018;115610;115660;115600;115630
09.10.2018;115630;115680;115600;115650
09.10.2018;115640;115670;115600;115670
09.10.2018;115660;115780;115640;115730
09.10.2018;115710;115800;115690;115730
09.10.2018;115740;115770;115670;115690
09.10.2018;115690;115730;115660;115730
09.10.2018;115730;115730;115600;115650
09.10.2018;115650;115690;115650;115650
09.10.2018;115660;115710;115580;115620
09.10.2018;115620;115630;115460;115480
09.10.2018;115490;115650;115460;115640
09.10.2018;115640;115660;115580;115610
09.10.2018;115620;115730;115620;115670
09.10.2018;115640;115700;115640;115670
09.10.2018;115670;115730;115670;115690
09.10.2018;115690;115710;115660;115690
09.10.2018;115670;115720;115670;115680
09.10.2018;115680;115680;115630;115640
09.10.2018;115650;115710;115640;115700
09.10.2018;115660;115810;115660;115770
09.10.2018;115770;115980;115770;115910
09.10.2018;115910;116030;115890;115930
09.10.2018;115940;115970;115900;115930
09.10.2018;115930;115940;115830;115850
09.10.2018;115860;115870;115720;115730
09.10.2018;115740;115740;115660;115660
09.10.2018;115660;115730;115660;115720
09.10.2018;115710;115860;115710;115830
09.10.2018;115820;115840;115750;115790
09.10.2018;115790;115810;115740;115780
09.10.2018;115780;115800;115760;115800
09.10.2018;115800;115910;115800;115910
09.10.2018;115910;115980;115830;115900
09.10.2018;115900;115930;115810;115810
09.10.2018;115810;115830;115760;115760
09.10.2018;115760;115790;115710;115770
09.10.2018;115770;115770;115670;115680
09.10.2018;115670;115700;115600;115660
09.10.2018;115640;115640;115550;115570
09.10.2018;115570;115640;115520;115640
09.10.2018;115620;115670;115610;115660
09.10.2018;115650;115660;115630;115640
09.10.2018;115640;115680;115620;115630
09.10.2018;115640;115770;115640;115690
09.10.2018;115710;115820;115680;115770
09.10.2018;115770;115820;115760;115820
09.10.2018;115820;115840;115770;115770
09.10.2018;115770;115780;115760;115770
09.10.2018;115770;115770;115720;115720
09.10.2018;115720;115740;115670;115690
09.10.2018;115690;115740;115690;115700
09.10.2018;115710;115740;115700;115730
09.10.2018;115720;115720;115700;115710
09.10.2018;115700;115700;115640;115700
09.10.2018;115700;115760;115700;115710
09.10.2018;115700;115750;115700;115750
09.10.2018;115760;115790;115750;115750
09.10.2018;115750;115810;115750;115780
09.10.2018;115750;115760;115720;115730
09.10.2018;115740;115750;115700;115700
09.10.2018;115700;115730;115670;115670
09.10.2018;115670;115680;115550;115580
09.10.2018;115590;115590;115530;115560
09.10.2018;115580;115590;115470;115510
09.10.2018;115500;115510;115420;115480
09.10.2018;115480;115560;115450;115520
09.10.2018;115520;115590;115500;115560
09.10.2018;115560;115590;115530;115570
09.10.2018;115570;115580;115510;115570
09.10.2018;115570;115620;115560;115560
09.10.2018;115580;115610;115570;115570
09.10.2018;115580;115710;115570;115630
09.10.2018;115640;115640;115590;115600
09.10.2018;115620;115660;115610;115640
09.10.2018;115610;115620;115610;115610
09.10.2018;115620;115670;115610;115640
09.10.2018;115610;115670;115590;115650
09.10.2018;115620;115650;115620;115650
09.10.2018;115620;115640;115620;115630
09.10.2018;115610;115610;115540;115550
09.10.2018;115550;115570;115520;115540
09.10.2018;115540;115550;115470;115530
09.10.2018;115550;115560;115500;115500
09.10.2018;115510;115560;115490;115500
09.10.2018;115490;115540;115480;115540
09.10.2018;115540;115540;115500;115530
09.10.2018;115530;115580;115530;115560
09.10.2018;115580;115590;115540;115580
09.10.2018;115580;115620;115550;115550
09.10.2018;115570;115650;115570;115650
09.10.2018;115650;115720;115650;115700
09.10.2018;115700;115740;115690;115690
09.10.2018;115690;115700;115670;115700
09.10.2018;115700;115720;115670;115670
09.10.2018;115670;115690;115650;115650
09.10.2018;115660;115730;115660;115690
09.10.2018;115690;115750;115680;115750
09.10.2018;115740;115780;115730;115780
09.10.2018;115760;115760;115670;115690
09.10.2018;115700;115710;115660;115660
09.10.2018;115690;115750;115670;115740
09.10.2018;115740;115770;115730;115760
09.10.2018;115760;115860;115760;115840
09.10.2018;115850;115860;115810;115820
09.10.2018;115830;115850;115790;115790
09.10.2018;115800;115810;115730;115750
09.10.2018;115750;115790;115740;115790
09.10.2018;115790;115830;115760;115790
09.10.2018;115800;115810;115780;115780
09.10.2018;115780;115830;115780;115800
09.10.2018;115800;115810;115770;115780
09.10.2018;115770;115810;115770;115790
09.10.2018;115790;115860;115780;115860
09.10.2018;115860;115900;115830;115890
09.10.2018;115890;115950;115850;115930
09.10.2018;115930;115960;115880;115900
09.10.2018;115880;115890;115830;115830
09.10.2018;115840;116100;115830;116020
09.10.2018;116020;116120;116020;116100
09.10.2018;116100;116280;116100;116240
09.10.2018;116240;116250;116160;116170
09.10.2018;116160;116210;116140;116140
09.10.2018;116150;116170;116140;116170
09.10.2018;116160;116190;116150;116160
09.10.2018;116160;116190;116130;116150
09.10.2018;116140;116180;116140;116150
09.10.2018;116140;116200;116140;116170
09.10.2018;116170;116190;116130;116160
09.10.2018;116170;116170;116130;116140
09.10.2018;116130;116180;116120;116140
09.10.2018;116140;116160;116120;116150
09.10.2018;116150;116150;116110;116140
09.10.2018;116130;116150;116120;116130
09.10.2018;116130;116200;116130;116170
09.10.2018;116180;116230;116180;116210
09.10.2018;116210;116260;116190;116240
09.10.2018;116240;116280;116230;116250
09.10.2018;116260;116270;116190;116190
09.10.2018;116200;116210;116170;116180
09.10.2018;116180;116210;116170;116200
09.10.2018;116200;116210;116160;116180
09.10.2018;116180;116200;116110;116120
09.10.2018;116130;116150;116070;116090
09.10.2018;116080;116100;116060;116080
09.10.2018;116090;116090;116010;116020
09.10.2018;116030;116120;116020;116100
09.10.2018;116110;116130;116060;116080
09.10.2018;116090;116100;116070;116090
09.10.2018;116100;116160;116060;116160
09.10.2018;116150;116160;116070;116070
09.10.2018;116080;116100;116050;116050
09.10.2018;116050;116110;116050;116110
09.10.2018;116110;116150;116090;116150
09.10.2018;116150;116150;116110;116110
09.10.2018;116120;116190;116120;116190
09.10.2018;116190;116210;116160;116200
09.10.2018;116200;116230;116180;116220
09.10.2018;116230;116370;116200;116210
09.10.2018;116200;116250;116170;116240
09.10.2018;116240;116240;116190;116200
09.10.2018;116210;116210;116160;116190
09.10.2018;116200;116240;116170;116170
09.10.2018;116170;116210;116160;116190
09.10.2018;116170;116240;116170;116230
09.10.2018;116200;116220;116180;116220
09.10.2018;116230;116230;116140;116160
09.10.2018;116160;116220;116160;116200
09.10.2018;116200;116230;116150;116150
09.10.2018;116150;116200;116150;116180
09.10.2018;116190;116210;116150;116170
09.10.2018;116190;116220;116190;116220
09.10.2018;116220;116220;116200;116200
09.10.2018;116210;116220;116200;116210
09.10.2018;116210;116240;116180;116180
09.10.2018;116190;116200;116130;116130
09.10.2018;116140;116180;116130;116150
09.10.2018;116160;116170;116150;116150
09.10.2018;116170;116190;116150;116150
09.10.2018;116150;116190;116140;116190
09.10.2018;116180;116190;116160;116170
09.10.2018;116170;116170;116150;116160
09.10.2018;116140;116160;116140;116150
09.10.2018;116140;116160;116140;116160
09.10.2018;116160;116170;116150;116150
09.10.2018;116140;116160;116100;116150
09.10.2018;116160;116160;116120;116120
09.10.2018;116120;116130;116090;116100
09.10.2018;116110;116140;116100;116120
09.10.2018;116130;116170;116130;116160
09.10.2018;116150;116190;116140;116190
09.10.2018;116180;116200;116170;116190
09.10.2018;116190;116190;116160;116160
09.10.2018;116170;116180;116160;116170
09.10.2018;116160;116190;116150;116170
09.10.2018;116180;116190;116170;116170
09.10.2018;116180;116180;116150;116170
09.10.2018;116180;116180;116160;116170
09.10.2018;116170;116170;116150;116160
09.10.2018;116160;116190;116160;116160
09.10.2018;116150;116180;116120;116150
09.10.2018;116160;116190;116160;116190
09.10.2018;116180;116180;116160;116160
09.10.2018;116160;116160;116100;116100
09.10.2018;116110;116130;116090;116120
09.10.2018;116110;116140;116060;116140
09.10.2018;116140;116150;116130;116130
09.10.2018;116120;116150;116110;116150
09.10.2018;116140;116150;116110;116120
09.10.2018;116110;116120;116060;116080
09.10.2018;116080;116100;116060;116060
09.10.2018;116080;116080;116040;116050
09.10.2018;116050;116060;116040;116060
09.10.2018;116060;116070;115980;116000
09.10.2018;116000;116030;115980;116000
09.10.2018;115990;116040;115970;116030
09.10.2018;116010;116070;116010;116020
09.10.2018;116040;116060;116030;116050
09.10.2018;116060;116060;116020;116050
09.10.2018;116040;116040;116020;116020
09.10.2018;116020;116020;116000;116000
09.10.2018;116000;116000;115950;115960
09.10.2018;115960;115960;115920;115940
09.10.2018;115930;115960;115920;115930
09.10.2018;115930;115930;115870;115910
09.10.2018;115900;115920;115850;115910
09.10.2018;115900;115920;115890;115890
09.10.2018;115890;115930;115890;115930
09.10.2018;115920;115940;115910;115920
09.10.2018;115940;115950;115910;115930
09.10.2018;115920;115940;115910;115920
09.10.2018;115920;115940;115910;115920
09.10.2018;115930;115960;115920;115940
09.10.2018;115940;115940;115900;115920
09.10.2018;115930;115980;115930;115950
09.10.2018;115950;115960;115910;115940
09.10.2018;115950;115960;115940;115950
09.10.2018;115950;116000;115950;115990
09.10.2018;115990;116000;115970;115970
09.10.2018;115990;116000;115960;115980
09.10.2018;115970;115980;115920;115960
09.10.2018;115950;115970;115930;115930
09.10.2018;115950;115950;115890;115940
09.10.2018;115930;115940;115920;115940
09.10.2018;115940;115980;115930;115980
09.10.2018;115990;116100;115990;116100
09.10.2018;116090;116100;116060;116090
09.10.2018;116090;116120;116070;116090
09.10.2018;116090;116130;116080;116080
09.10.2018;116080;116080;116040;116050
09.10.2018;116040;116040;115980;116000
09.10.2018;116010;116010;115980;116000
09.10.2018;116010;116010;115970;115990
09.10.2018;115990;116040;115970;116040
09.10.2018;116030;116100;116030;116090
09.10.2018;116080;116090;115990;116030
09.10.2018;116040;116040;116010;116010
09.10.2018;116000;116030;115990;116030
09.10.2018;116030;116060;116010;116060
09.10.2018;116050;116050;115980;115980
09.10.2018;115980;116020;115980;116020
09.10.2018;116000;116020;116000;116000
09.10.2018;116000;116020;115990;116020
09.10.2018;116020;116040;116020;116030
09.10.2018;116040;116060;116030;116030
09.10.2018;116030;116040;116030;116040
09.10.2018;116040;116040;116030;116040
09.10.2018;116040;116050;116040;116040
09.10.2018;116050;116060;116050;116060
09.10.2018;116070;116130;116070;116110
09.10.2018;116120;116190;116120;116150
09.10.2018;116140;116150;116120;116140
09.10.2018;116130;116140;116120;116130
09.10.2018;116150;116160;116140;116140
09.10.2018;116140;116150;116120;116150
09.10.2018;116150;116150;116120;116140
09.10.2018;116120;116130;116120;116120
09.10.2018;116120;116150;116110;116150
09.10.2018;116140;116150;116120;116120
09.10.2018;116140;116140;116120;116140
09.10.2018;116140;116140;116120;116120
09.10.2018;116110;116140;116110;116120
09.10.2018;116130;116130;116110;116110
09.10.2018;116120;116120;116110;116110
09.10.2018;116110;116110;116080;116100
09.10.2018;116090;116090;116080;116090
09.10.2018;116090;116090;116070;116080
09.10.2018;116080;116080;116050;116080
09.10.2018;116070;116080;116060;116080
09.10.2018;116070;116080;116050;116050
09.10.2018;116070;116070;116070;116070
09.10.2018;116060;116070;116030;116070
09.10.2018;116070;116080;116040;116060
09.10.2018;116060;116090;116060;116090
09.10.2018;116090;116110;116080;116080
09.10.2018;116080;116110;116080;116110
09.10.2018;116100;116120;116100;116120
09.10.2018;116130;116180;116130;116150
09.10.2018;116150;116200;116140;116200
09.10.2018;116190;116220;116140;116140
09.10.2018;116140;116160;116120;116120
09.10.2018;116130;116130;116100;116100
09.10.2018;116100;116130;116090;116100
09.10.2018;116100;116130;116100;116130
09.10.2018;116130;116160;116120;116150
09.10.2018;116120;116130;116120;116130
09.10.2018;116130;116150;116130;116140
09.10.2018;116150;116160;116050;116080
09.10.2018;116060;116090;116000;116000
07.11.2018;114650;114880;114300;114390
07.11.2018;114380;114400;114230;114310
07.11.2018;114310;114380;114290;114330
07.11.2018;114330;114340;114190;114210
07.11.2018;114200;114330;114120;114330
07.11.2018;114330;114340;114200;114220
07.11.2018;114220;114280;114180;114210
07.11.2018;114200;114230;114120;114180
07.11.2018;114200;114260;114160;114230
07.11.2018;114230;114230;114170;114180
07.11.2018;114170;114200;114130;114180
07.11.2018;114180;114270;114140;114260
07.11.2018;114260;114260;114200;114240
07.11.2018;114230;114230;114130;114150
07.11.2018;114150;114160;114070;114120
07.11.2018;114110;114180;114090;114170
07.11.2018;114160;114250;114150;114200
07.11.2018;114200;114240;114150;114180
07.11.2018;114170;114200;114140;114170
07.11.2018;114170;114180;114130;114150
07.11.2018;114140;114190;114140;114160
07.11.2018;114170;114170;114120;114160
07.11.2018;114160;114170;114130;114160
07.11.2018;114160;114180;114120;114180
07.11.2018;114180;114190;114160;114170
07.11.2018;114170;114170;113960;114010
07.11.2018;114010;114050;113980;114010
07.11.2018;114010;114050;113990;114010
07.11.2018;113990;113990;113920;113980
07.11.2018;113990;113990;113930;113930
07.11.2018;113930;113940;113790;113810
07.11.2018;113810;113920;113800;113910
07.11.2018;113910;113920;113880;113910
07.11.2018;113900;113940;113880;113940
07.11.2018;113940;113980;113930;113980
07.11.2018;113970;113980;113880;113880
07.11.2018;113880;113890;113840;113870
07.11.2018;113890;113890;113830;113840
07.11.2018;113840;113850;113810;113830
07.11.2018;113820;113840;113770;113830
07.11.2018;113830;113830;113720;113740
07.11.2018;113740;113770;113720;113760
07.11.2018;113750;113750;113720;113730
07.11.2018;113730;113770;113680;113760
07.11.2018;113760;113780;113680;113700
07.11.2018;113680;113760;113640;113730
07.11.2018;113730;113770;113720;113730
07.11.2018;113730;113790;113730;113750
07.11.2018;113750;113870;113740;113840
07.11.2018;113840;113850;113800;113840
07.11.2018;113830;113870;113820;113830
07.11.2018;113850;113900;113850;113890
07.11.2018;113880;113910;113870;113900
07.11.2018;113910;113930;113900;113920
07.11.2018;113930;113930;113900;113910
07.11.2018;113910;113930;113880;113910
07.11.2018;113930;113960;113910;113950
07.11.2018;113940;113950;113910;113920
07.11.2018;113920;113920;113850;113870
07.11.2018;113880;113890;113820;113840
07.11.2018;113840;114040;113830;114010
07.11.2018;114020;114110;114010;114080
07.11.2018;114090;114130;114070;114110
07.11.2018;114120;114140;114090;114120
07.11.2018;114120;114130;114060;114060
07.11.2018;114070;114090;114020;114080
07.11.2018;114080;114090;113980;113990
07.11.2018;114000;114100;113970;114090
07.11.2018;114090;114130;114080;114100
07.11.2018;114100;114110;114020;114080
07.11.2018;114070;114070;114010;114010
07.11.2018;114030;114080;114020;114080
07.11.2018;114070;114140;114070;114120
07.11.2018;114120;114180;114120;114150
07.11.2018;114150;114210;114150;114210
07.11.2018;114200;114210;114120;114120
07.11.2018;114130;114160;114100;114140
07.11.2018;114140;114240;114140;114240
07.11.2018;114240;114290;114200;114220
07.11.2018;114220;114260;114190;114210
07.11.2018;114220;114290;114200;114280
07.11.2018;114270;114370;114270;114320
07.11.2018;114320;114330;114260;114300
07.11.2018;114300;114310;114230;114240
07.11.2018;114240;114260;114210;114220
07.11.2018;114220;114230;114180;114200
07.11.2018;114200;114210;114090;114100
07.11.2018;114110;114150;114040;114100
07.11.2018;114090;114130;114070;114090
07.11.2018;114090;114170;114070;114160
07.11.2018;114160;114170;114100;114120
07.11.2018;114130;114180;114120;114160
07.11.2018;114160;114260;114160;114240
07.11.2018;114240;114290;114220;114250
07.11.2018;114240;114360;114220;114330
07.11.2018;114330;114350;114270;114280
07.11.2018;114280;114300;114250;114270
07.11.2018;114250;114310;114230;114270
07.11.2018;114280;114310;114270;114300
07.11.2018;114300;114320;114270;114290
07.11.2018;114280;114320;114260;114300
07.11.2018;114300;114390;114230;114380
07.11.2018;114370;114470;114370;114450
07.11.2018;114430;114480;114420;114440
07.11.2018;114430;114520;114420;114490
07.11.2018;114480;114540;114440;114500
07.11.2018;114500;114540;114470;114480
07.11.2018;114490;114500;114450;114450
07.11.2018;114480;114610;114480;114590
07.11.2018;114580;114620;114540;114570
07.11.2018;114590;114670;114550;114630
07.11.2018;114630;114670;114560;114570
07.11.2018;114580;114630;114560;114630
07.11.2018;114620;114690;114610;114660
07.11.2018;114670;114740;114670;114740
07.11.2018;114740;114820;114730;114730
07.11.2018;114730;114780;114680;114710
07.11.2018;114710;114740;114680;114690
07.11.2018;114690;114730;114680;114720
07.11.2018;114710;114730;114660;114680
07.11.2018;114680;114720;114670;114690
07.11.2018;114690;114720;114650;114650
07.11.2018;114650;114700;114630;114690
07.11.2018;114700;114770;114690;114720
07.11.2018;114720;114920;114710;114850
07.11.2018;114850;114860;114770;114830
07.11.2018;114830;114900;114820;114900
07.11.2018;114880;115050;114870;115010
07.11.2018;115000;115210;115000;115160
07.11.2018;115160;115240;115150;115200
07.11.2018;115200;115230;115100;115110
07.11.2018;115110;115140;115020;115040
07.11.2018;115040;115060;114990;115020
07.11.2018;115020;115070;114990;115050
07.11.2018;115050;115190;115050;115190
07.11.2018;115180;115220;115130;115200
07.11.2018;115210;115310;115210;115290
07.11.2018;115290;115300;115210;115230
07.11.2018;115220;115260;115180;115190
07.11.2018;115180;115220;115170;115190
07.11.2018;115200;115240;115160;115180
07.11.2018;115190;115200;115130;115160
07.11.2018;115160;115180;115130;115140
07.11.2018;115140;115210;115130;115190
07.11.2018;115190;115250;115170;115190
07.11.2018;115190;115190;115140;115160
07.11.2018;115170;115170;115090;115100
07.11.2018;115100;115130;115100;115130
07.11.2018;115130;115250;115120;115250
07.11.2018;115250;115350;115220;115310
07.11.2018;115310;115390;115280;115390
07.11.2018;115380;115460;115370;115380
07.11.2018;115390;115490;115380;115460
07.11.2018;115470;115700;115470;115570
07.11.2018;115590;115660;115550;115580
07.11.2018;115580;115620;115540;115560
07.11.2018;115560;115630;115560;115580
07.11.2018;115590;115610;115530;115530
07.11.2018;115540;115590;115530;115560
07.11.2018;115550;115570;115510;115530
07.11.2018;115540;115580;115530;115550
07.11.2018;115550;115570;115520;115550
07.11.2018;115550;115610;115540;115580
07.11.2018;115580;115590;115550;115570
07.11.2018;115560;115570;115530;115550
07.11.2018;115550;115580;115520;115540
07.11.2018;115550;115550;115460;115490
07.11.2018;115480;115510;115480;115500
07.11.2018;115510;115610;115510;115600
07.11.2018;115590;115690;115590;115620
07.11.2018;115620;115770;115620;115760
07.11.2018;115760;115810;115710;115750
07.11.2018;115750;115750;115690;115720
07.11.2018;115710;115720;115660;115680
07.11.2018;115680;115710;115640;115670
07.11.2018;115670;115750;115670;115740
07.11.2018;115740;115800;115710;115780
07.11.2018;115780;115830;115760;115820
07.11.2018;115820;115970;115820;115920
07.11.2018;115910;116150;115910;116060
07.11.2018;116070;116100;115990;116020
07.11.2018;116020;116030;115970;115980
07.11.2018;115980;116000;115920;115960
07.11.2018;115960;116000;115910;115950
07.11.2018;115940;115950;115890;115930
07.11.2018;115920;115990;115920;115940
07.11.2018;115930;116000;115920;115990
07.11.2018;115990;115990;115900;115910
07.11.2018;115910;115980;115900;115980
07.11.2018;115980;116020;115930;115980
07.11.2018;115990;116080;115980;116000
07.11.2018;115990;116000;115950;115960
07.11.2018;115970;116000;115930;115930
07.11.2018;115930;116060;115930;116050
07.11.2018;116060;116070;115970;116050
07.11.2018;116050;116250;116040;116120
07.11.2018;116140;116210;116080;116080
07.11.2018;116100;116160;116080;116120
07.11.2018;116120;116150;116090;116110
07.11.2018;116110;116160;116080;116080
07.11.2018;116090;116100;116050;116050
07.11.2018;116050;116140;116040;116120
07.11.2018;116120;116130;116030;116060
07.11.2018;116060;116120;116030;116050
07.11.2018;116040;116090;116000;116080
07.11.2018;116090;116110;116060;116070
07.11.2018;116060;116080;115980;115980
07.11.2018;115990;116000;115920;115920
07.11.2018;115930;116000;115920;115980
07.11.2018;115970;116010;115940;115990
07.11.2018;115990;116010;115960;115970
07.11.2018;115990;116010;115970;115990
07.11.2018;115990;116060;115980;116030
07.11.2018;116020;116060;115980;115990
07.11.2018;116000;116010;115930;115940
07.11.2018;115930;116030;115930;116010
07.11.2018;116010;116020;115990;116000
07.11.2018;116020;116090;116010;116080
07.11.2018;116080;116080;116000;116000
07.11.2018;116000;116090;115990;116070
07.11.2018;116070;116140;116070;116130
07.11.2018;116120;116150;116100;116120
07.11.2018;116130;116220;116130;116170
07.11.2018;116170;116220;116100;116100
07.11.2018;116100;116160;116100;116160
07.11.2018;116170;116190;116100;116110
07.11.2018;116120;116170;116110;116110
07.11.2018;116120;116130;116020;116060
07.11.2018;116070;116120;116060;116100
07.11.2018;116110;116180;116090;116150
07.11.2018;116150;116180;116140;116140
07.11.2018;116150;116170;116090;116090
07.11.2018;116090;116120;116060;116110
07.11.2018;116110;116160;116100;116130
07.11.2018;116130;116160;116090;116100
07.11.2018;116110;116130;116090;116110
07.11.2018;116100;116130;116100;116110
07.11.2018;116110;116160;116100;116110
07.11.2018;116110;116160;116090;116120
07.11.2018;116110;116180;116110;116160
07.11.2018;116150;116150;115960;116080
07.11.2018;116090;116320;116070;116230
07.11.2018;116220;116250;116190;116200
07.11.2018;116200;116220;116130;116150
07.11.2018;116150;116190;116120;116160
07.11.2018;116160;116190;116060;116080
07.11.2018;116060;116080;116010;116060
07.11.2018;116070;116090;116040;116090
07.11.2018;116090;116130;115990;116010
07.11.2018;116010;116070;116000;116040
07.11.2018;116040;116070;116020;116030
07.11.2018;116040;116070;116020;116030
07.11.2018;116030;116070;116010;116020
07.11.2018;116030;116040;115970;115990
07.11.2018;115990;116080;115960;116020
07.11.2018;116030;116040;116000;116040
07.11.2018;116040;116070;116020;116050
07.11.2018;116040;116040;116010;116020
07.11.2018;116020;116040;116020;116020
07.11.2018;116020;116060;116000;116040
07.11.2018;116040;116050;116000;116020
07.11.2018;116030;116040;115990;116000
07.11.2018;116000;116030;115980;116020
07.11.2018;116020;116050;116000;116040
07.11.2018;116030;116080;116030;116070
07.11.2018;116060;116080;116040;116070
07.11.2018;116070;116070;116040;116040
07.11.2018;116060;116060;116030;116040
07.11.2018;116050;116090;116050;116070
07.11.2018;116070;116120;116070;116090
07.11.2018;116080;116080;116000;116000
07.11.2018;116000;116000;115950;115990
07.11.2018;115990;116060;115990;116060
07.11.2018;116060;116060;116010;116040
07.11.2018;116040;116090;116030;116030
07.11.2018;116030;116070;116010;116060
07.11.2018;116060;116090;116050;116060
07.11.2018;116070;116090;116070;116090
07.11.2018;116090;116140;116040;116040
07.11.2018;116060;116120;116060;116100
07.11.2018;116110;116150;116080;116130
07.11.2018;116130;116170;116120;116130
07.11.2018;116140;116150;116060;116080
07.11.2018;116080;116080;116030;116060
07.11.2018;116060;116090;116040;116050
07.11.2018;116060;116070;116030;116030
