<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
07.09.2018;104780;104820;104750;104820
07.09.2018;104850;104860;104820;104820
07.09.2018;104770;104770;104770;104770
07.09.2018;104750;104750;104750;104750
07.09.2018;104770;104770;104770;104770
07.09.2018;104730;104730;104710;104710
07.09.2018;104650;104650;104650;104650
07.09.2018;104700;104700;104700;104700
07.09.2018;104730;104730;104720;104720
07.09.2018;104600;104600;104600;104600
07.09.2018;104590;104590;104590;104590
07.09.2018;104640;104640;104640;104640
07.09.2018;104600;104610;104580;104600
07.09.2018;104590;104600;104590;104600
07.09.2018;104610;104610;104610;104610
07.09.2018;104640;104640;104640;104640
07.09.2018;104590;104590;104510;104510
07.09.2018;104510;104570;104510;104570
07.09.2018;104620;104620;104620;104620
07.09.2018;104680;104680;104680;104680
07.09.2018;104740;104880;104700;104700
07.09.2018;104660;104660;104660;104660
07.09.2018;104600;104600;104580;104580
07.09.2018;104580;104580;104580;104580
07.09.2018;104530;104540;104530;104540
07.09.2018;104550;104580;104550;104580
07.09.2018;104590;104600;104590;104600
07.09.2018;104510;104510;104510;104510
07.09.2018;104620;104630;104620;104630
07.09.2018;104500;104500;104500;104500
07.09.2018;104480;104480;104480;104480
07.09.2018;104500;104500;104500;104500
07.09.2018;104480;104480;104450;104450
07.09.2018;104420;104420;104420;104420
07.09.2018;104470;104480;104340;104450
07.09.2018;104390;104410;104390;104410
07.09.2018;104410;104410;104410;104410
07.09.2018;104440;104450;104440;104450
07.09.2018;104450;104450;104450;104450
07.09.2018;104400;104400;104400;104400
07.09.2018;104400;104400;104400;104400
07.09.2018;104370;104370;104330;104350
07.09.2018;104340;104340;104260;104260
07.09.2018;104350;104360;104350;104360
07.09.2018;104300;104300;104300;104300
07.09.2018;104280;104280;104250;104260
07.09.2018;104240;104240;104240;104240
07.09.2018;104320;104320;104280;104280
07.09.2018;104350;104350;104350;104350
07.09.2018;104270;104270;104270;104270
07.09.2018;104300;104330;104300;104330
07.09.2018;104280;104280;104280;104280
07.09.2018;104270;104270;104250;104250
07.09.2018;104300;104300;104300;104300
07.09.2018;104260;104260;104260;104260
07.09.2018;104300;104300;104300;104300
07.09.2018;104310;104360;104310;104360
07.09.2018;104380;104410;104380;104410
07.09.2018;104300;104300;104300;104300
07.09.2018;104410;104410;104410;104410
07.09.2018;104450;104600;104450;104590
07.09.2018;104680;104700;104680;104700
07.09.2018;104560;104560;104560;104560
07.09.2018;104450;104450;104450;104450
07.09.2018;104360;104400;104360;104400
07.09.2018;104470;104470;104470;104470
07.09.2018;104460;104510;104460;104510
07.09.2018;104460;104460;104430;104430
07.09.2018;104430;104430;104430;104430
07.09.2018;104430;104430;104360;104360
07.09.2018;104380;104380;104380;104380
07.09.2018;104440;104440;104440;104440
07.09.2018;104460;104460;104420;104420
07.09.2018;104530;104530;104530;104530
07.09.2018;104370;104370;104360;104360
07.09.2018;104360;104360;104360;104360
07.09.2018;104360;104360;104360;104360
07.09.2018;104390;104390;104390;104390
07.09.2018;104370;104370;104370;104370
07.09.2018;104300;104300;104300;104300
07.09.2018;104260;104260;104260;104260
07.09.2018;104350;104360;104340;104350
07.09.2018;104350;104390;104350;104390
07.09.2018;104260;104260;104200;104200
07.09.2018;104170;104170;104150;104150
07.09.2018;104140;104140;104000;104010
07.09.2018;104000;104000;103970;104000
07.09.2018;104070;104090;104070;104090
07.09.2018;104050;104050;104050;104050
07.09.2018;104090;104100;104090;104100
07.09.2018;104100;104140;104100;104140
07.09.2018;104150;104150;104150;104150
07.09.2018;104160;104200;104160;104200
07.09.2018;104200;104200;104200;104200
07.09.2018;104150;104150;104110;104110
07.09.2018;104190;104190;104190;104190
07.09.2018;104150;104150;104150;104150
07.09.2018;104220;104220;104220;104220
07.09.2018;104150;104150;104130;104130
07.09.2018;104210;104250;104210;104250
07.09.2018;104350;104350;103920;103920
07.09.2018;104000;104030;104000;104030
07.09.2018;103920;103940;103790;103940
07.09.2018;103910;103990;103910;103990
07.09.2018;103990;103990;103990;103990
07.09.2018;103880;103880;103880;103880
07.09.2018;104000;104110;104000;104020
07.09.2018;104060;104060;104060;104060
07.09.2018;104030;104030;104030;104030
07.09.2018;104000;104000;103970;103970
07.09.2018;103920;103920;103910;103910
07.09.2018;103930;103940;103890;103940
07.09.2018;103890;103890;103880;103880
07.09.2018;103910;103910;103870;103870
07.09.2018;103910;103910;103910;103910
07.09.2018;103950;103950;103950;103950
07.09.2018;104050;104050;104050;104050
07.09.2018;103950;103950;103950;103950
07.09.2018;103960;103960;103960;103960
07.09.2018;103920;103920;103920;103920
07.09.2018;103920;103920;103920;103920
07.09.2018;104040;104150;104030;104150
07.09.2018;104150;104150;104080;104080
07.09.2018;104050;104060;104050;104060
07.09.2018;104100;104110;104090;104100
07.09.2018;104080;104140;104080;104140
07.09.2018;104140;104210;104140;104210
07.09.2018;104210;104230;104210;104230
07.09.2018;104230;104250;104230;104250
07.09.2018;104210;104210;104200;104200
07.09.2018;104190;104190;104180;104180
07.09.2018;104170;104170;104170;104170
07.09.2018;104170;104170;104150;104150
07.09.2018;104180;104180;104180;104180
07.09.2018;104150;104150;104150;104150
07.09.2018;104140;104140;104140;104140
07.09.2018;104140;104140;104140;104140
07.09.2018;104130;104130;104120;104120
07.09.2018;104140;104150;104140;104150
07.09.2018;104150;104150;104150;104150
