block,C_uF,T_exp_ms,T_theory_ms,delta_percent
c1,0.022,0.091,0.08695289324869636,4.654366979748917
c2,0.032999999999999995,0.11124999999999999,0.106566115243105,4.395285261370217
c3,0.047,0.12999999999999998,0.1272858319865713,2.1323410241880056
c4,0.47,0.42333333333333334,0.41327073209741144,2.4348690711419834
