Rm_ohm,T_s,U2_i_div,U2_i_plus_n_div,n,T_period_s,lambda,Q
0.0,0.00089,6.64,0.32,8.0,0.00011125,0.37906828083458843,8.287669563575722
10.0,0.00078,6.4,0.32,7.0,0.00011142857142857143,0.4279617533648558,7.340825737087422
20.0,0.00078,6.32,0.24,7.0,0.00011142857142857143,0.4672622233998446,6.723403896705505
30.0,0.000666,6.08,0.24,6.0,0.000111,0.5386868419363703,5.831946149449253
40.0,0.000558,5.92,0.32,5.0,0.0001116,0.5835541464168558,5.383549535000013
50.0,0.000446,5.68,0.4,4.0,0.0001115,0.6633104911518037,4.736232421312352
60.0,0.000446,5.6,0.32,4.0,0.0001115,0.7155502202323671,4.390457252000559
70.0,0.00045,5.36,0.24,4.0,0.0001125,0.7765200826807142,4.045732652199207
80.0,0.000336,5.28,0.4,3.0,0.000112,0.860072276530775,3.6527077308686873
90.0,0.000338,5.04,0.32,3.0,0.00011266666666666666,0.9189467884238808,3.4186883214185375
100.0,0.000339,4.96,0.32,3.0,0.000113,0.9136133413084003,3.438645772281158
200.0,0.000234,3.6,0.16,2.0,0.000117,1.5567576546051871,2.0180357837306024
300.0,0.000117,2.56,0.32,1.0,0.000117,2.0794415416798357,1.510786713942398
400.0,0.000117,1.76,0.16,1.0,0.000117,2.3978952727983707,1.3101458972073952
