Rm_ohm,T_s,U2_i_div,U2_i_plus_n_div,n,T_period_s,lambda,Q
0.0,0.00091,6.32,0.24,7.0,0.00013,0.4672622233998446,6.723403896705505
10.0,0.00091,6.08,0.16,7.0,0.00013,0.519655165675198,6.0455333865638785
20.0,0.000782,5.92,0.24,6.0,0.00013033333333333335,0.5342421340893434,5.880465903246059
30.0,0.000656,5.68,0.24,5.0,0.0001312,0.6328135176746412,4.964484110791438
40.0,0.000524,5.52,0.32,4.0,0.000131,0.7119530358693422,4.412640294108303
50.0,0.000524,5.28,0.24,4.0,0.000131,0.772760613339579,4.06541508373857
60.0,0.000398,5.04,0.32,3.0,0.00013266666666666667,0.9189467884238808,3.4186883214185375
70.0,0.000398,4.96,0.24,3.0,0.00013266666666666667,1.009507365458994,3.1120056782957706
80.0,0.000398,4.8,0.24,3.0,0.00013266666666666667,0.9985774245179969,3.1460681730374667
90.0,0.000262,4.56,0.56,2.0,0.000131,1.0485705593896182,2.9960717716684138
100.0,0.000262,4.48,0.4,2.0,0.000131,1.2079568891505246,2.600748985172033
200.0,0.000136,3.12,0.4,1.0,0.000136,2.0541237336955462,1.5294076992809953
300.0,0.000138,2.08,0.16,1.0,0.000138,2.5649493574615367,1.224816639927326
400.0,0.000138,1.28,0.0,1.0,0.000138,inf,0.0
