time x y
7.605552673339844e-05 0.0 0.0
0.037438392639160156 -0.2530721787529504 -0.0005337147086238663
0.06306719779968262 -0.5061308507615963 -0.0032022407767156114
0.09018754959106445 -1.011988214523824 -0.020277883316637546
0.11667990684509277 -1.5166756557231058 -0.05866846466601755
0.14166045188903809 -1.7677918639183032 -0.09007646510892661
0.16838812828063965 -2.016809350257877 -0.13519967429528193
0.19864726066589355 -2.261954214453802 -0.19804717280172268
0.2243659496307373 -2.261954214453802 -0.19804717280172268
0.24999022483825684 -2.261954214453802 -0.19804717280172268
0.2760653495788574 -2.261954214453802 -0.19804717280172268
0.3023996353149414 -2.261954214453802 -0.19804717280172268
0.3283264636993408 -2.465727316842652 -0.3481216051777233
0.35265183448791504 -2.0842178392443897 -0.015505056366148018
0.38134312629699707 -2.2598977514775194 -0.1976653729774105
0.4063589572906494 -2.4187751119918777 -0.39465216650973345
0.42965078353881836 -2.277060345567009 -0.1849792367183548
0.45726895332336426 -2.4006046449828475 -0.4058471125898927
0.48338961601257324 -2.608622368575162 -0.8672708622084979
0.5083224773406982 -2.7790336732200656 -1.3438663272413114
0.5342283248901367 -2.978145755816575 -2.076509958999262
0.5591928958892822 -3.121114042508134 -2.82214551447652
0.5834157466888428 -3.1795083405435314 -3.3249112213396423
0.6144130229949951 -3.2598757560562097 -5.347897400030384
0.6401638984680176 -3.2176992840678027 -6.865747984105182
0.664461612701416 -3.1053073228342285 -8.126110376357488
0.6883895397186279 -2.9581570932486247 -9.127649097573693
0.7158479690551758 -3.059066272724551 -8.631664634572969
0.7393462657928467 -3.059066272724551 -8.631664634572969
0.7663156986236572 -3.36417004357252 -7.666447203536398
0.7895152568817139 -3.888483414787118 -6.2414051904254935
0.8164863586425781 -4.573189005877298 -4.607568274901956
0.8421480655670166 -5.437611274434183 -2.7768017299069587
0.8674361705780029 -6.500318514968678 -0.7622635361170889
0.8916900157928467 -7.901850108529697 1.6429916490928136
0.9183492660522461 -9.262540133190361 3.77679199303423
0.9442126750946045 -10.861748838315808 6.055404472412811
0.9694972038269043 -12.564918687138215 8.257393523201001
0.9996473789215088 -14.706838628677998 10.75457619137938
1.022322416305542 -16.793436069117256 12.96109111836599
1.0500330924987793 -18.79382368946008 14.897064434842225
1.07242751121521 -21.067428775190635 16.910349540236528
1.098503828048706 -23.415803673263934 18.835896823364525
1.1234664916992188 -26.84927331599517 21.428294560571914
1.1507878303527832 -29.76858367659009 23.435931547308716
1.176365852355957 -32.980074302723075 25.459946313323268
1.2020070552825928 -36.48084897572815 27.49472018072132
1.227198839187622 -40.04827727211316 29.410231431732747
1.2620840072631836 -44.82748151784965 31.734755059169746
1.2967023849487305 -51.34253662621501 34.5215047685847
1.3422527313232422 -58.22228151989921 37.07721181730269
1.3923203945159912 -66.6595446131513 39.77326667953876
1.436366319656372 -75.2127711864521 42.07509975574592
1.4624016284942627 -79.89546439536822 43.16730972976053
1.498321294784546 -87.57829500074871 44.755434319107444
1.526737928390503 -92.80834993604267 45.69921855863775
1.552220344543457 -98.30523354083424 46.58377714363312
1.5770330429077148 -103.56733889929966 47.32839148232673
1.602353811264038 -108.84125752831974 47.984124363501316
1.6244168281555176 -113.87270887357313 48.53441734402172
1.6474609375 -118.91272797582123 48.999747821248945
1.672199010848999 -124.46278191749042 49.44142021055752
1.694031000137329 -129.25976598367 49.77230113322501
1.7216918468475342 -135.5765906853264 50.1277705515871
1.7437255382537842 -140.6327680989631 50.35884405913874
1.7707319259643555 -147.2080988972365 50.6037810921545
1.797471046447754 -153.28000997161269 50.753059056762865
1.8264296054840088 -160.11230098725935 50.84895899115954
1.8486206531524658 -165.4267452399706 50.87871805369488
1.869793176651001 -171.50041677334337 50.84868289851758
1.900766372680664 -178.33256108172992 50.74284590458456
1.922379493713379 -183.3928114233275 50.632430849343386
1.949028730392456 -189.9704729208761 50.461146055704965
1.969963788986206 -195.2814453715576 50.26678827973314
1.995856761932373 -201.85528103497614 49.98455800631862
2.017735481262207 -207.16336904226688 49.72301446532624
2.044671058654785 -214.49027821528975 49.30001293895298
2.0730931758880615 -221.0584168594252 48.90691752015531
2.0942296981811523 -226.36277053264197 48.57823009050507
2.1284430027008057 -235.2009707493431 47.99313415440187
2.1505703926086426 -240.7539728700289 47.590218899572385
2.173646926879883 -247.3123614070331 47.05870309119332
2.2040657997131348 -254.37276423024653 46.45651625812416
2.2261133193969727 -260.42230715215896 45.914835132563226
2.253453254699707 -267.22674263626527 45.29109234700284
2.2742919921875 -272.77215698135166 44.79455131523864
2.3038747310638428 -280.08062472353987 44.12460536037749
2.325892448425293 -285.87470302516965 43.56882532074397
2.350409507751465 -292.4231911159457 42.92674044953979
2.3726582527160645 -297.9642195004485 42.383437866213185
2.3997104167938232 -304.76315119650485 41.70231738328556
2.4220941066741943 -310.5548337524047 41.122103638569435
2.4459192752838135 -316.59959199004413 40.52940991130404
2.467649221420288 -321.88764997586577 39.99964953569366
2.4902963638305664 -328.43613806664183 39.35756466448949
2.517643690109253 -334.9846261574179 38.71547979328532
2.5393028259277344 -340.0197966282883 38.200326094534404
2.563880681991577 -346.06200119333283 37.58214165603331
2.584533929824829 -352.10420575837736 36.96395721753221
2.6193392276763916 -360.16047851177 36.13971129953075
2.640231132507324 -365.7015068962728 35.596408716204145
2.666562795639038 -372.24999498704886 34.954323844999976
2.68835711479187 -377.79102337155166 34.41102126167337
2.713916063308716 -384.0863304975298 33.7803541478515
2.735869884490967 -389.62257861304846 33.190328675239186
2.7604007720947266 -397.4253915249874 32.37538298162609
2.7861971855163574 -402.4605619958578 31.860229282875178
2.8066577911376953 -407.74861998167944 31.3304689072648
2.835895538330078 -415.05117624781406 30.598895055231424
2.862630844116211 -421.8501079438704 29.9177745723038
2.8845319747924805 -427.64179049977025 29.337560827587673
2.9132702350616455 -435.19454620607587 28.564830279461304
2.9379265308380127 -440.9862287619757 27.98461653474518
2.958679676055908 -446.2764741678116 27.477165194210226
2.98829984664917 -453.5849419099998 26.80721923934907
3.013612985610962 -460.136079978693 26.192760728313107
3.039978265762329 -467.18829792260567 25.501284713170147
3.063366174697876 -472.47854332844156 24.99383337263519
3.0846221446990967 -478.27262163007134 24.43805333300167
3.110313653945923 -484.3198260011727 23.87086086127616
3.132248878479004 -489.8652403462591 23.374319829511965
3.1635985374450684 -497.6777403465293 22.65817070535004
3.186199188232422 -503.47411131447166 22.126834258391195
3.2191169261932373 -511.2895624421043 21.443643586729728
3.2412118911743164 -517.59234560955 20.8926833676479
3.26253342628479 -522.6336313778103 20.441282429680452
3.2919998168945312 -529.9420991199985 19.771336474819297
3.3132660388946533 -535.7384700879409 19.24000002786045
3.3397769927978516 -542.7962701635054 18.60803871470602
3.362257957458496 -548.0906080241597 18.145232130677282
3.384267807006836 -553.6380673852559 17.672085333265795
3.414776086807251 -561.4535185128885 16.988894661604327
3.437791585922241 -567.2498894808309 16.45755821464548
3.4591331481933594 -573.2970938519322 15.890365742919975
3.4883334636688232 -579.8507653506707 15.303544523562291
3.509584426879883 -585.396179695757 14.807003491798099
3.5360865592956543 -592.7046474379453 14.137057536936943
3.559098482131958 -597.9989852985996 13.674250952908208
3.579779863357544 -603.0421301723235 13.244117500715946
3.606022834777832 -609.5982185081646 12.684944012866005
3.6266603469848633 -615.1456778692608 12.211797215454515
3.652674436569214 -621.704066406265 11.680281407075448
3.6759331226348877 -627.5066964979384 11.22233071422817
3.697996139526367 -633.0561021830958 10.772586568676653
3.7244744300842285 -640.1189821460234 10.200184928883814
3.74985933303833 -646.1728792571042 9.709554951918523
3.7786099910736084 -653.4892389379097 9.132138860937172
3.80454683303833 -660.049810999216 8.628290187948798
3.8305675983428955 -666.8638010588382 8.119431870464663
3.854612112045288 -672.6683111096276 7.685959970385585
3.8760383129119873 -677.4633411515839 7.327874487711564
