0.023, 0, 100
0.054, 3, 100
0.084, 12, 100
0.113, 28, 100
0.142, 49, 100
0.171, 74, 100
0.200, 99, 100
0.229, 119, 58
0.258, 131, 12
0.288, 133, -24
0.317, 128, -44
0.345, 119, -36
0.374, 107, -12
0.403, 96, 16
0.432, 88, 38
0.460, 84, 50
0.490, 83, 54
0.519, 84, 50
0.547, 87, 40
0.577, 90, 28
0.605, 92, 18
0.633, 93, 10
0.661, 92, 4
0.691, 91, 1
0.720, 90, -1
0.749, 89, -2
0.777, 88, -2
0.811, 88, -1
0.840, 88, 0
0.870, 88, 1
0.900, 89, 1
0.929, 89, 1
0.957, 90, 1
0.987, 90, 0
1.015, 90, 0
1.044, 90, 0
1.072, 90, 0
1.102, 90, 0
1.131, 90, 0
1.159, 90, 0
1.192, 90, 0
1.221, 90, 0
1.250, 90, 0
1.279, 90, 0
1.308, 90, 0
1.337, 90, 0
1.366, 90, 0
1.395, 90, 0
1.424, 90, 0
1.452, 90, 0
1.481, 90, 0
1.510, 90, 0
1.539, 90, 0
1.568, 90, 0
1.598, 90, 0
1.627, 90, 0
1.655, 90, 0
1.686, 90, 0
1.715, 90, 0
1.745, 90, 0
1.773, 90, 0
1.802, 90, 0
1.830, 90, 0
1.859, 90, 0
1.888, 90, 0
1.917, 90, 0
1.944, 90, 0
1.973, 90, 0
2.002, 90, 0
