0.019191265106201172, 0, 100
0.039336204528808594, 0, 100
0.05114603042602539, 3, 100
0.06027722358703613, 6, 100
0.06850004196166992, 8, 100
0.07726502418518066, 12, 100
0.08547210693359375, 16, 100
0.0930337905883789, 21, 100
0.10113143920898438, 26, 100
0.11028242111206055, 33, 100
0.11847186088562012, 38, 100
0.12711691856384277, 46, 88
0.1352522373199463, 52, 76
0.1429274082183838, 60, 60
0.1521439552307129, 68, 44
0.1614992618560791, 75, 30
0.1697523593902588, 81, 18
0.17824721336364746, 87, 6
0.18699240684509277, 92, -4
0.19520783424377441, 98, -16
0.20285940170288086, 102, -24
0.21192359924316406, 106, -32
0.21987366676330566, 108, -36
0.22845697402954102, 109, -38
0.2370619773864746, 110, -40
0.246124267578125, 110, -40
0.25459909439086914, 110, -40
0.263322114944458, 108, -36
0.27724409103393555, 106, -32
0.2855384349822998, 102, -24
0.29389333724975586, 98, -16
0.3018612861633301, 94, -8
0.3113086223602295, 90, 0
0.3192579746246338, 86, 8
0.3276979923248291, 83, 14
0.33581089973449707, 81, 18
0.34441447257995605, 79, 22
0.3530118465423584, 77, 26
0.36243653297424316, 76, 28
0.37084197998046875, 77, 26
0.3791074752807617, 78, 24
0.3875713348388672, 80, 20
0.39572906494140625, 82, 16
0.4034454822540283, 84, 12
0.41454195976257324, 88, 4
0.42220520973205566, 92, -4
0.43047523498535156, 96, -12
0.4389808177947998, 99, -18
0.44826412200927734, 102, -24
0.4573087692260742, 104, -28
0.4668447971343994, 106, -32
0.4750065803527832, 106, -32
0.48227834701538086, 106, -32
0.4904940128326416, 106, -32
0.49895477294921875, 105, -30
0.5074734687805176, 103, -26
0.5170135498046875, 101, -22
0.5252020359039307, 98, -16
0.53305983543396, 95, -10
0.5412533283233643, 92, -4
0.5503227710723877, 89, 2
0.5590403079986572, 86, 8
0.5682203769683838, 83, 14
0.5769369602203369, 82, 16
0.5851078033447266, 80, 20
0.5928604602813721, 79, 22
0.6012144088745117, 78, 24
0.6092698574066162, 79, 22
0.6183724403381348, 79, 22
0.6271233558654785, 80, 20
0.6353201866149902, 82, 16
0.6429829597473145, 84, 12
0.6522154808044434, 86, 8
0.6612143516540527, 89, 2
0.6702616214752197, 92, -4
0.6832425594329834, 95, -10
0.6916368007659912, 96, -12
0.7000088691711426, 98, -16
0.7085564136505127, 98, -16
0.7181117534637451, 99, -18
0.7270104885101318, 99, -18
0.7352027893066406, 98, -16
0.7425687313079834, 97, -14
0.7518124580383301, 96, -12
0.7602615356445312, 94, -8
0.7696821689605713, 93, -6
0.7781131267547607, 91, -2
0.7865729331970215, 90, 0
0.7945935726165771, 88, 4
0.8044819831848145, 87, 6
0.8119010925292969, 86, 8
0.8212218284606934, 85, 10
0.8294053077697754, 85, 10
0.8378775119781494, 86, 8
0.8462316989898682, 86, 8
0.8564715385437012, 88, 4
0.8656556606292725, 89, 2
0.8753359317779541, 91, -2
0.8830556869506836, 92, -4
0.8913843631744385, 94, -8
0.8993537425994873, 94, -8
0.9078328609466553, 95, -10
0.9162249565124512, 96, -12
0.9254395961761475, 96, -12
0.9331064224243164, 96, -12
0.9413180351257324, 95, -10
0.9494884014129639, 94, -8
0.9579691886901855, 93, -6
0.9682290554046631, 92, -4
0.9813671112060547, 91, -2
0.9896752834320068, 89, 2
0.998105525970459, 88, 4
1.006962537765503, 88, 4
1.0151002407073975, 87, 6
1.0318326950073242, 86, 8
1.0484979152679443, 86, 8
1.0672178268432617, 88, 4
1.0896470546722412, 89, 2
1.1074819564819336, 92, -4
1.1262331008911133, 93, -6
1.1417620182037354, 94, -8
1.158353567123413, 94, -8
1.169295072555542, 93, -6
1.1776373386383057, 92, -4
1.185770034790039, 91, -2
1.1934611797332764, 90, 0
1.2128369808197021, 89, 2
1.2270262241363525, 88, 4
1.2355897426605225, 88, 4
1.243189811706543, 88, 4
1.2515044212341309, 88, 4
1.259535789489746, 88, 4
1.2696118354797363, 89, 2
1.2779977321624756, 90, 0
1.2862436771392822, 90, 0
1.2939047813415527, 92, -4
1.3016703128814697, 92, -4
1.3098747730255127, 93, -6
1.319260835647583, 93, -6
1.3276491165161133, 93, -6
1.3358056545257568, 93, -6
1.3434393405914307, 92, -4
