match_id,season,match_date,match_time,matchday,matchday_name,home_team_id,home_team,away_team_id,away_team,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,total_goals,winner,venue_stadium,venue_city,match_finished
58577,2020,2020-09-18,18:30,1,1. Spieltag,40,FC Bayern München,9,FC Schalke 04,3,0,8,0,8,home,,München,True
58579,2020,2020-09-19,13:30,1,1. Spieltag,91,Eintracht Frankfurt,83,DSC Arminia Bielefeld,0,0,1,1,2,draw,,Frankfurt,True
58580,2020,2020-09-19,13:30,1,1. Spieltag,65,1. FC Köln,175,TSG Hoffenheim,1,2,2,3,5,away,,Köln,True
58582,2020,2020-09-19,13:30,1,1. Spieltag,16,VfB Stuttgart,112,SC Freiburg,0,2,2,3,5,away,,Stuttgart,True
58583,2020,2020-09-19,13:30,1,1. Spieltag,80,1. FC Union Berlin,95,FC Augsburg,0,1,1,3,4,away,,Berlin,True
58584,2020,2020-09-19,13:30,1,1. Spieltag,134,SV Werder Bremen,54,Hertha BSC,0,1,1,4,5,away,,Bremen,True
58578,2020,2020-09-19,16:30,1,1. Spieltag,7,Borussia Dortmund,87,Borussia Mönchengladbach,1,0,3,0,3,home,,Dortmund,True
58581,2020,2020-09-20,13:30,1,1. Spieltag,1635,RB Leipzig,81,1. FSV Mainz 05,2,0,3,1,4,home,,Leipzig,True
58585,2020,2020-09-20,16:00,1,1. Spieltag,131,VfL Wolfsburg,6,Bayer 04 Leverkusen,0,0,0,0,0,draw,,Wolfsburg,True
58591,2020,2020-09-25,18:30,2,2. Spieltag,54,Hertha BSC,91,Eintracht Frankfurt,0,2,1,3,4,away,,Berlin,True
58586,2020,2020-09-26,13:30,2,2. Spieltag,83,DSC Arminia Bielefeld,65,1. FC Köln,0,0,1,0,1,home,,Bielefeld,True
58587,2020,2020-09-26,13:30,2,2. Spieltag,95,FC Augsburg,7,Borussia Dortmund,1,0,2,0,2,home,,Augsburg,True
58588,2020,2020-09-26,13:30,2,2. Spieltag,6,Bayer 04 Leverkusen,1635,RB Leipzig,1,1,1,1,2,draw,,Leverkusen,True
58589,2020,2020-09-26,13:30,2,2. Spieltag,87,Borussia Mönchengladbach,80,1. FC Union Berlin,0,0,1,1,2,draw,,Mönchengladbach,True
58593,2020,2020-09-26,13:30,2,2. Spieltag,81,1. FSV Mainz 05,16,VfB Stuttgart,1,1,1,4,5,away,,Mainz,True
58594,2020,2020-09-26,16:30,2,2. Spieltag,9,FC Schalke 04,134,SV Werder Bremen,0,2,1,3,4,away,,Gelsenkirchen,True
58592,2020,2020-09-27,13:30,2,2. Spieltag,175,TSG Hoffenheim,40,FC Bayern München,2,1,4,1,5,home,,Hoffenheim,True
58590,2020,2020-09-27,16:00,2,2. Spieltag,112,SC Freiburg,131,VfL Wolfsburg,1,1,1,1,2,draw,,Freiburg,True
58603,2020,2020-10-02,18:30,3,3. Spieltag,80,1. FC Union Berlin,81,1. FSV Mainz 05,1,0,4,0,4,home,,Berlin,True
58596,2020,2020-10-03,13:30,3,3. Spieltag,7,Borussia Dortmund,112,SC Freiburg,1,0,4,0,4,home,,Dortmund,True
58597,2020,2020-10-03,13:30,3,3. Spieltag,91,Eintracht Frankfurt,175,TSG Hoffenheim,0,1,2,1,3,home,,,True
58598,2020,2020-10-03,13:30,3,3. Spieltag,65,1. FC Köln,87,Borussia Mönchengladbach,0,2,1,3,4,away,,,True
58602,2020,2020-10-03,13:30,3,3. Spieltag,16,VfB Stuttgart,6,Bayer 04 Leverkusen,0,1,1,1,2,draw,,,True
58604,2020,2020-10-03,13:30,3,3. Spieltag,134,SV Werder Bremen,83,DSC Arminia Bielefeld,1,0,1,0,1,home,,,True
58601,2020,2020-10-03,16:30,3,3. Spieltag,1635,RB Leipzig,9,FC Schalke 04,3,0,4,0,4,home,,Leipzig,True
58605,2020,2020-10-04,13:30,3,3. Spieltag,131,VfL Wolfsburg,95,FC Augsburg,0,0,0,0,0,draw,,,True
58595,2020,2020-10-04,16:00,3,3. Spieltag,40,FC Bayern München,54,Hertha BSC,1,0,4,3,7,home,,München,True
58607,2020,2020-10-17,13:30,4,4. Spieltag,95,FC Augsburg,1635,RB Leipzig,0,1,0,2,2,away,,,True
58609,2020,2020-10-17,13:30,4,4. Spieltag,112,SC Freiburg,134,SV Werder Bremen,1,1,1,1,2,draw,,,True
58610,2020,2020-10-17,13:30,4,4. Spieltag,54,Hertha BSC,16,VfB Stuttgart,0,1,0,2,2,away,,,True
58611,2020,2020-10-17,13:30,4,4. Spieltag,175,TSG Hoffenheim,7,Borussia Dortmund,0,0,0,1,1,away,,Sinsheim,True
58613,2020,2020-10-17,13:30,4,4. Spieltag,81,1. FSV Mainz 05,6,Bayer 04 Leverkusen,0,1,0,1,1,away,,,True
58606,2020,2020-10-17,16:30,4,4. Spieltag,83,DSC Arminia Bielefeld,40,FC Bayern München,0,3,1,4,5,away,,,True
